,Learned,Tested
425,1188,0
426,1189,0
427,1191,0
428,1195,0
429,1196,0
430,1197,0
431,1201,0
432,1210,0
433,1211,0
434,1212,0
435,1215,0
436,1224,0
437,1225,0
438,1230,0
439,1235,0
440,1237,0
441,1240,0
442,1244,0
443,1245,0
444,1247,0
445,1258,0
446,1260,0
447,1266,0
448,1267,0
449,1271,0
450,1272,0
451,1273,0
452,1275,0
453,1277,0
454,1282,0
455,1286,0
456,1287,0
457,1288,0
458,1297,0
459,1298,0
460,1299,0
461,1303,0
462,1312,0
463,1325,0
464,1334,0
465,1336,0
466,1337,0
467,1357,0
468,1383,0
469,1385,0
470,1386,0
471,1387,0
472,1398,0
473,1399,0
474,1400,0
475,1401,0
476,1412,0
477,1456,0
478,1462,0
479,1465,0
480,1474,0
481,1485,0
482,1486,0
483,1487,0
484,1522,0
485,1534,0
486,1544,0
487,1547,0
488,1555,0
489,1561,0
490,1563,0
491,1571,0
492,1576,0
493,1577,0
494,1583,0
495,1585,0
496,1587,0
497,1594,0
498,1598,0
499,1599,0
500,1615,0
501,1621,0
502,1622,0
503,1635,0
504,1651,0
505,1678,0
506,1682,0
507,1683,0
508,1684,0
509,1685,0
510,1687,0
511,1695,0
512,1698,0
513,1699,0
514,1711,0
515,1715,0
516,1734,0
517,1744,0
518,1750,0
519,1760,0
520,1762,0
521,1764,0
522,1775,0
523,1776,0
524,1780,0
525,1784,0
526,1797,0
527,1798,0
528,1799,0
529,1800,0
530,1811,0
531,1842,0
532,1851,0
533,1853,0
534,1860,0
535,1863,0
536,1864,0
537,1865,0
538,1870,0
539,1871,0
540,1872,0
541,1873,0
542,1874,0
543,1875,0
544,1876,0
545,1877,0
546,1881,0
547,1882,0
548,1883,0
549,1884,0
550,1885,0
551,1886,0
552,1888,0
553,1889,0
554,1892,0
555,1893,0
556,1894,0
557,1895,0
558,1896,0
559,1897,0
560,1898,0
561,1899,0
562,1900,0
563,1926,0
564,1948,0
565,1960,0
566,1971,0
567,1972,0
568,1973,0
569,1974,0
570,1981,0
571,1982,0
572,1983,0
573,1984,0
574,1987,0
575,1989,0
576,1990,0
577,1991,0
578,1992,0
579,1993,0
580,1995,0
581,1996,0
582,1997,0
583,1998,0
584,1999,0
585,2000,0
586,2001,0
587,2002,0
588,2003,0
589,2004,0
590,2006,0
591,2007,0
592,2008,0
593,2010,0
594,2011,0
595,2012,0
596,2013,0
597,2014,0
598,2015,0
599,2016,0
600,2017,0
601,2018,0
602,2019,0
603,2020,0
604,2021,0
605,2022,0
606,2023,0
607,2024,0
608,2025,0
609,2026,0
610,2027,0
611,2028,0
612,2029,0
613,2030,0
614,2031,0
615,2032,0
616,2033,0
617,2034,0
618,2035,0
619,2036,0
620,2037,0
621,2038,0
622,2039,0
623,2041,0
624,2042,0
625,2043,0
626,2044,0
627,2045,0
628,2046,0
629,2047,0
630,2048,0
631,2049,0
632,2051,0
633,2052,0
634,2053,0
635,2054,0
636,2055,0
637,2056,0
638,2057,0
639,2058,0
640,2059,0
641,2060,0
642,2061,0
643,2062,0
644,2063,0
645,2064,0
646,2065,0
647,2066,0
648,2067,0
649,2068,0
650,2069,0
651,2073,0
652,2076,0
653,2077,0
654,2078,0
655,2079,0
656,2086,0
657,2087,0
658,2088,0
659,2089,0
660,2092,0
661,2095,0
662,2099,0
663,2100,0
664,2101,0
665,2104,0
666,2107,0
667,2110,0
668,2111,0
669,2112,0
670,2113,0
671,2114,0
672,2115,0
673,2120,0
674,2121,0
675,2122,0
676,2123,0
677,2124,0
678,2125,0
679,2128,0
680,2131,0
681,2132,0
682,2133,0
683,2135,0
684,2136,0
685,2137,0
686,2138,0
687,2140,0
688,2141,0
689,2143,0
690,2144,0
691,2145,0
692,2146,0
693,2148,0
694,2149,0
695,2150,0
696,2151,0
697,2152,0
698,2153,0
699,2156,0
700,2159,0
701,2160,0
702,2161,0
703,2163,0
704,2165,0
705,2166,0
706,2167,0
707,2168,0
708,2169,0
709,2171,0
710,2174,0
711,2175,0
712,2176,0
713,2177,0
714,2178,0
715,2179,0
716,2183,0
717,2188,0
718,2189,0
719,2191,0
720,2195,0
721,2196,0
722,2197,0
723,2201,0
724,2210,0
725,2211,0
726,2212,0
727,2215,0
728,2224,0
729,2225,0
730,2230,0
731,2235,0
732,2237,0
733,2240,0
734,2244,0
735,2245,0
736,2247,0
737,2258,0
738,2260,0
739,2266,0
740,2267,0
741,2271,0
742,2272,0
743,2273,0
744,2275,0
745,2277,0
746,2282,0
747,2286,0
748,2287,0
749,2288,0
750,2297,0
751,2298,0
752,2299,0
753,2303,0
754,2312,0
755,2325,0
756,2334,0
757,2336,0
758,2337,0
759,2357,0
760,2383,0
761,2385,0
762,2386,0
763,2387,0
764,2398,0
765,2399,0
766,2400,0
767,2401,0
768,2412,0
769,2456,0
770,2462,0
771,2465,0
772,2474,0
773,2481,0
774,2485,0
775,2486,0
776,2487,0
777,2522,0
778,2534,0
779,2544,0
780,2547,0
781,2555,0
782,2561,0
783,2563,0
784,2571,0
785,2576,0
786,2577,0
787,2583,0
788,2585,0
789,2587,0
790,2594,0
791,2598,0
792,2599,0
793,2615,0
794,2621,0
795,2622,0
796,2635,0
797,2651,0
798,2678,0
799,2682,0
800,2683,0
801,2684,0
802,2685,0
803,2687,0
804,2695,0
805,2698,0
806,2699,0
807,2711,0
808,2715,0
809,2734,0
810,2744,0
811,2750,0
812,2760,0
813,2762,0
814,2764,0
815,2775,0
816,2776,0
817,2780,0
818,2784,0
819,2797,0
820,2798,0
821,2799,0
822,2800,0
823,2811,0
824,2842,0
825,2851,0
826,2853,0
827,2860,0
828,2863,0
829,2864,0
830,2865,0
831,2870,0
832,2871,0
833,2872,0
834,2873,0
835,2874,0
836,2875,0
837,2876,0
838,2877,0
839,2881,0
840,2882,0
841,2883,0
842,2884,0
843,2885,0
844,2886,0
845,2888,0
846,2889,0
847,2892,0
848,2893,0
849,2894,0
850,2895,0
851,2896,0
852,2897,0
853,2898,0
854,2899,0
855,2900,0
856,2926,0
857,2948,0
858,2971,0
859,2972,0
860,2973,0
861,2974,0
862,2981,0
863,2982,0
864,2983,0
865,2984,0
866,2987,0
867,2989,0
868,2990,0
869,2991,0
870,2992,0
871,2993,0
872,2995,0
873,2996,0
874,2997,0
875,2998,0
876,2999,0
