,Date,Symbol,Order,Shares
159,2016-07-19,AAPL,SELL,100
160,2016-07-21,AAPL,SELL,100
161,2016-07-28,AAPL,BUY,100
162,2016-07-29,AAPL,BUY,100
163,2016-08-01,AAPL,SELL,100
164,2016-08-04,AAPL,BUY,100
165,2016-08-08,AAPL,SELL,100
166,2016-08-09,AAPL,BUY,100
167,2016-08-18,AAPL,SELL,100
168,2016-08-19,AAPL,SELL,100
169,2016-08-29,AAPL,BUY,100
170,2016-09-02,AAPL,BUY,100
171,2016-09-20,AAPL,SELL,100
172,2016-09-21,AAPL,BUY,100
173,2016-09-22,AAPL,SELL,100
174,2016-09-26,AAPL,BUY,100
175,2016-09-27,AAPL,SELL,100
176,2016-09-28,AAPL,SELL,100
177,2016-10-07,AAPL,BUY,100
178,2016-10-10,AAPL,BUY,100
179,2016-10-19,AAPL,SELL,100
180,2016-10-20,AAPL,SELL,100
181,2016-10-28,AAPL,BUY,100
182,2016-11-02,AAPL,SELL,100
183,2016-11-04,AAPL,BUY,100
184,2016-11-07,AAPL,SELL,100
185,2016-11-10,AAPL,BUY,100
186,2016-11-11,AAPL,SELL,100
187,2016-11-17,AAPL,BUY,100
188,2016-11-21,AAPL,SELL,100
189,2016-11-22,AAPL,BUY,100
190,2016-11-28,AAPL,SELL,100
191,2016-12-01,AAPL,BUY,100
192,2016-12-02,AAPL,SELL,100
193,2016-12-08,AAPL,BUY,100
194,2016-12-12,AAPL,BUY,100
195,2016-12-14,AAPL,SELL,100
196,2016-12-15,AAPL,BUY,100
197,2016-12-20,AAPL,SELL,100
198,2016-12-21,AAPL,SELL,100
