Date,Open,High,Low,Close,Adj Close,Volume
2010-07-13,36.617142,36.628571,35.204285,32.488995,35.971428,297731000
2010-07-14,35.625713,36.542858,35.571430,32.608997,36.104286,203011900
2010-07-15,35.461430,36.709999,35.328571,32.443844,35.921429,206216500
2010-07-16,36.168571,36.424286,35.487144,32.243847,35.700001,259964600
2010-07-19,35.697144,35.697144,34.228573,31.686455,35.082859,256119500
2010-07-20,34.700001,36.128571,34.287144,32.500607,35.984287,268737700
2010-07-21,37.869999,37.878571,36.285713,32.803818,36.320000,296417800
2010-07-22,36.811428,37.142857,36.472858,33.420574,37.002857,161329700
2010-07-23,36.727142,37.197144,36.611427,33.539276,37.134285,133347200
2010-07-26,37.142857,37.157143,36.815716,33.454121,37.040001,105137900
2010-07-27,37.267143,37.828571,37.185715,34.073456,37.725716,146192900
2010-07-28,37.667141,37.998573,37.178570,33.670876,37.279999,129996300
2010-07-29,37.244286,37.521427,36.585712,33.303162,36.872856,160951700
2010-07-30,36.555714,37.099998,36.414288,33.192192,36.750000,112052500
2010-08-02,37.205715,37.512856,37.088570,33.785721,37.407143,107013900
2010-08-03,37.287144,37.608570,37.060001,33.796047,37.418571,104413400
2010-08-04,37.548573,37.754284,37.187141,33.931522,37.568573,105093800
2010-08-05,37.389999,37.597141,37.221428,33.766369,37.385715,72274300
2010-08-06,37.111427,37.355713,36.804287,33.558636,37.155716,111224400
2010-08-09,37.354286,37.450001,37.081429,33.772820,37.392857,75782000
2010-08-10,37.121429,37.207142,36.792858,33.470898,37.058571,112980000
2010-08-11,36.485714,36.527142,35.687141,32.281265,35.741428,155013600
2010-08-12,35.241428,36.157143,35.160000,32.487709,35.970001,133730100
2010-08-13,35.950001,35.982857,35.584286,32.140629,35.585712,88717300
2010-08-16,35.368572,35.715714,35.231430,31.952248,35.377144,79607500
2010-08-17,35.725716,36.375713,35.599998,32.510933,35.995716,105660100
2010-08-18,36.051430,36.381428,35.939999,32.652863,36.152859,84924000
2010-08-19,36.119999,36.211430,35.525715,32.241257,35.697144,106676500
2010-08-20,35.627144,36.274284,35.571430,32.210297,35.662857,96057500
2010-08-23,35.970001,36.000000,35.035713,31.714834,35.114285,103510400
2010-08-24,34.667141,34.714287,34.092857,30.957445,34.275715,150641400
2010-08-25,34.005714,34.855713,33.885715,31.339357,34.698570,149216900
2010-08-26,35.064285,35.107143,34.325714,31.002602,34.325714,116626300
2010-08-27,34.535713,34.658573,33.651428,31.175512,34.517143,137097800
2010-08-30,34.394287,35.107143,34.382858,31.289045,34.642857,95822300
2010-08-31,34.549999,34.937141,34.335712,31.366459,34.728573,105196700
2010-09-01,35.352856,35.922855,35.182858,32.299328,35.761429,174259400
2010-09-02,35.894287,36.024284,35.509998,32.536732,36.024284,103856900
2010-09-03,36.441429,36.968571,36.357143,33.388313,36.967144,130197200
2010-09-07,36.662857,37.075714,36.607143,33.264446,36.830002,85639400
2010-09-08,37.111427,37.770000,37.014286,33.923771,37.560001,131637800
2010-09-09,37.862858,38.074287,37.560001,33.943127,37.581429,109643800
2010-09-10,37.598572,37.785713,37.342857,33.987003,37.630001,96885600
2010-09-13,37.974285,38.325714,37.965714,34.455368,38.148571,97195000
2010-09-14,38.029999,38.452858,37.931427,34.586975,38.294285,102037600
2010-09-15,38.310001,38.625713,38.262856,34.865673,38.602856,107342200
2010-09-16,38.605713,39.524284,38.500000,35.684994,39.509998,163025800
2010-09-17,39.669998,39.708572,39.097141,35.530167,39.338570,158619300
2010-09-20,39.439999,40.540001,39.407143,36.544312,40.461430,164669400
2010-09-21,40.551430,41.049999,40.398571,36.613991,40.538570,167018600
2010-09-22,40.387142,41.139999,40.344284,37.127522,41.107143,146322400
2010-09-23,40.904285,41.822857,40.857143,37.278473,41.274284,196529200
2010-09-24,41.728573,41.932858,41.507141,37.717175,41.759998,162372000
2010-09-27,41.997143,42.104286,41.572857,37.567497,41.594284,120708700
2010-09-28,41.681427,41.681427,39.285713,37.012688,40.980000,258760600
2010-09-29,41.032856,41.401428,40.857143,37.078495,41.052856,117411000
2010-09-30,41.285713,41.428570,40.178570,36.611404,40.535713,168347900
2010-10-01,40.878571,40.939999,40.192856,36.452705,40.360001,112035700
2010-10-04,40.228573,40.414288,39.681427,35.952076,39.805714,108825500
2010-10-05,40.285713,41.349998,40.259998,37.281059,41.277142,125491800
2010-10-06,41.369999,41.712856,40.751427,37.313316,41.312859,167717200
2010-10-07,41.477142,41.497143,40.987144,37.317192,41.317142,102099900
2010-10-08,41.672855,42.071430,41.428570,37.942966,42.009998,164600800
2010-10-11,42.105713,42.462856,42.085712,38.109413,42.194286,106938300
2010-10-12,42.201427,42.785713,41.784286,38.519718,42.648571,139636000
2010-10-13,42.885715,43.137142,42.828571,38.726154,42.877144,157523100
2010-10-14,43.098572,43.209999,42.914288,39.006153,43.187141,108824100
2010-10-15,43.919998,45.000000,43.558571,40.609955,44.962856,230548500
2010-10-18,45.495716,45.571430,44.898571,41.030582,45.428570,273252700
2010-10-19,43.342857,44.824287,42.860001,39.932568,44.212856,308196000
2010-10-20,44.142857,44.892857,43.838570,40.066761,44.361427,180406100
2010-10-21,44.622856,44.962856,43.828571,39.936436,44.217144,137865000
2010-10-22,44.152859,44.291428,43.757141,39.671928,43.924286,93194500
2010-10-25,44.155716,44.514286,44.062859,39.848705,44.119999,98115500
2010-10-26,43.838570,44.248573,43.664288,39.746758,44.007141,98232400
2010-10-27,43.950001,44.271427,43.657143,39.718384,43.975716,99750700
2010-10-28,43.992859,44.000000,42.985714,39.384186,43.605713,137762800
2010-10-29,43.461430,43.697144,42.981430,38.834549,42.997143,107627800
2010-11-01,43.174286,43.657143,43.171429,39.247433,43.454285,105972300
2010-11-02,43.857143,44.312859,43.857143,39.915791,44.194286,108482500
2010-11-03,44.481430,44.697144,44.075714,40.359646,44.685715,127087100
2010-11-04,45.064285,45.740002,45.004284,41.065422,45.467144,160622000
2010-11-05,45.427143,45.652859,45.250000,40.918339,45.304287,90313300
2010-11-08,45.314285,45.681427,45.251427,41.110584,45.517143,70439600
2010-11-09,45.864285,45.900002,44.928570,40.782856,45.154285,95886000
2010-11-10,45.234287,45.538570,44.792858,41.034451,45.432858,96056800
2010-11-11,45.000000,45.485714,44.892857,40.856400,45.235714,90321000
2010-11-12,45.142857,45.214287,43.375713,39.744175,44.004284,198961700
2010-11-15,44.065716,44.362858,43.752857,39.616447,43.862858,100901500
2010-11-16,43.674286,43.942856,42.759998,38.913250,43.084286,164412500
2010-11-17,43.028572,43.427143,42.537144,38.772610,42.928570,119862400
2010-11-18,43.599998,44.238571,43.527142,39.795795,44.061428,123622800
