Date,Open,High,Low,Close,Adj Close,Volume
2013-07-31,1885.250000,2025.000000,1756.500000,1899.750000,1899.750000,103300
2013-08-01,1876.750000,2083.750000,1868.000000,2083.750000,2083.750000,71600
2013-08-02,2082.000000,2227.500000,1987.500000,2218.750000,2218.750000,54800
2013-08-05,2199.250000,2273.000000,2092.250000,2253.250000,2253.250000,51600
2013-08-06,2366.750000,2627.250000,2362.500000,2617.750000,2617.750000,69400
2013-08-07,2663.750000,2675.000000,2477.750000,2654.250000,2654.250000,46900
2013-08-08,2511.500000,2544.250000,1944.000000,1962.500000,1962.500000,88200
2013-08-09,1991.500000,2074.250000,1752.250000,1835.500000,1835.500000,83500
2013-08-12,1632.750000,1632.750000,1503.250000,1544.250000,1544.250000,111700
2013-08-13,1581.000000,1698.250000,1540.000000,1668.000000,1668.000000,111000
2013-08-14,1619.750000,1630.000000,1398.250000,1398.250000,1398.250000,127700
2013-08-15,1476.500000,1481.750000,1146.000000,1148.750000,1148.750000,236100
2013-08-16,1108.000000,1249.500000,1086.000000,1215.000000,1215.000000,194600
2013-08-19,1206.250000,1293.750000,1188.250000,1280.750000,1280.750000,259800
2013-08-20,1272.000000,1282.000000,1115.000000,1140.000000,1140.000000,99600
2013-08-21,1185.000000,1296.000000,1171.500000,1290.000000,1290.000000,134900
2013-08-22,1231.500000,1276.000000,1166.000000,1235.500000,1235.500000,99100
2013-08-23,1244.000000,1244.500000,1108.000000,1125.500000,1125.500000,127400
2013-08-26,1108.000000,1151.500000,1057.000000,1103.000000,1103.000000,108400
2013-08-27,1014.000000,1254.500000,1005.000000,1248.000000,1248.000000,180900
2013-08-28,1205.500000,1375.000000,1140.000000,1348.000000,1348.000000,186500
2013-08-29,1390.500000,1464.500000,1265.000000,1319.000000,1319.000000,229600
2013-08-30,1389.500000,1415.500000,1303.500000,1372.000000,1372.000000,131200
2013-09-03,1300.000000,1355.000000,1260.000000,1332.500000,1332.500000,103100
2013-09-04,1386.500000,1409.500000,1315.000000,1315.000000,1315.000000,90800
2013-09-05,1349.000000,1468.000000,1335.000000,1450.000000,1450.000000,119200
2013-09-06,1387.000000,1412.000000,1336.000000,1380.000000,1380.000000,81900
2013-09-09,1377.000000,1444.000000,1352.500000,1426.000000,1426.000000,61600
2013-09-10,1515.000000,1616.500000,1512.000000,1593.500000,1593.500000,113600
2013-09-11,1580.500000,1665.000000,1551.500000,1562.000000,1562.000000,95400
2013-09-12,1715.500000,1825.500000,1693.000000,1814.000000,1814.000000,127200
2013-09-13,1848.500000,1862.500000,1723.000000,1746.500000,1746.500000,105300
2013-09-16,1713.000000,1796.500000,1662.000000,1788.500000,1788.500000,91500
2013-09-17,1737.500000,1785.000000,1680.500000,1688.000000,1688.000000,73300
2013-09-18,1735.000000,1768.500000,1155.000000,1225.000000,1225.000000,245200
2013-09-19,1197.500000,1392.000000,1192.000000,1341.500000,1341.500000,149100
2013-09-20,1408.000000,1610.000000,1407.500000,1593.000000,1593.000000,177300
2013-09-23,1619.000000,1760.000000,1516.500000,1683.000000,1683.000000,117900
2013-09-24,1756.000000,1808.000000,1647.500000,1697.000000,1697.000000,125500
2013-09-25,1671.500000,1682.500000,1516.500000,1619.000000,1619.000000,93900
2013-09-26,1613.000000,1747.500000,1565.000000,1685.000000,1685.000000,102500
2013-09-27,1621.000000,1724.000000,1578.000000,1678.000000,1678.000000,75100
2013-09-30,1730.000000,1747.500000,1638.000000,1703.000000,1703.000000,64300
2013-10-01,1828.000000,1852.500000,1781.500000,1825.000000,1825.000000,86800
2013-10-02,1777.000000,1817.500000,1684.000000,1809.500000,1809.500000,89500
2013-10-03,1800.000000,1864.000000,1744.000000,1857.500000,1857.500000,58900
2013-10-04,1851.000000,1915.000000,1823.000000,1873.000000,1873.000000,52600
2013-10-07,1826.500000,1846.500000,1777.500000,1791.000000,1791.000000,37100
2013-10-08,1786.000000,2002.500000,1775.500000,1958.500000,1958.500000,73200
2013-10-09,1999.000000,2125.000000,1870.000000,1925.000000,1925.000000,94000
2013-10-10,1953.000000,2041.500000,1886.500000,2016.000000,2016.000000,67600
2013-10-11,2106.000000,2177.000000,2062.500000,2149.000000,2149.000000,73900
2013-10-14,2086.000000,2181.000000,2065.000000,2136.000000,2136.000000,45700
2013-10-15,2176.000000,2192.000000,1945.500000,1953.500000,1953.500000,70800
2013-10-16,1978.000000,2080.000000,1965.000000,2060.500000,2060.500000,62300
2013-10-17,1840.000000,1850.000000,1617.500000,1732.500000,1732.500000,110500
2013-10-18,1735.500000,1784.000000,1682.500000,1763.000000,1763.000000,46600
2013-10-21,1749.000000,1754.000000,1638.000000,1644.000000,1644.000000,48400
2013-10-22,1535.500000,1548.000000,1418.000000,1434.000000,1434.000000,85400
2013-10-23,1466.000000,1584.000000,1435.000000,1569.500000,1569.500000,71200
2013-10-24,1447.000000,1453.000000,1366.500000,1392.000000,1392.000000,81700
2013-10-25,1415.000000,1450.000000,1339.500000,1357.000000,1357.000000,79700
2013-10-28,1347.500000,1398.500000,1268.000000,1330.000000,1330.000000,79700
2013-10-29,1350.000000,1450.000000,1332.500000,1441.500000,1441.500000,91400
2013-10-30,1357.000000,1540.000000,1329.500000,1361.500000,1361.500000,124700
2013-10-31,1488.500000,1539.000000,1450.000000,1536.000000,1536.000000,91600
2013-11-01,1621.000000,1736.000000,1609.000000,1722.500000,1722.500000,90000
2013-11-04,1658.500000,1677.000000,1560.000000,1571.000000,1571.000000,63600
2013-11-05,1607.000000,1682.000000,1589.500000,1627.000000,1627.000000,67400
2013-11-06,1578.000000,1595.000000,1546.000000,1571.000000,1571.000000,44400
2013-11-07,1637.000000,1696.000000,1547.000000,1682.500000,1682.500000,86100
2013-11-08,1751.000000,1824.000000,1655.500000,1657.000000,1657.000000,85900
2013-11-11,1709.000000,1772.000000,1650.000000,1652.500000,1652.500000,41100
2013-11-12,1707.000000,1785.500000,1652.500000,1767.000000,1767.000000,75400
2013-11-13,1721.000000,1768.000000,1693.000000,1741.000000,1741.000000,43700
2013-11-14,1659.000000,1687.500000,1587.000000,1597.000000,1597.000000,81300
2013-11-15,1576.500000,1671.000000,1565.000000,1669.000000,1669.000000,49600
2013-11-18,1685.000000,1786.500000,1678.000000,1765.000000,1765.000000,52600
2013-11-19,1757.000000,1800.000000,1720.500000,1756.000000,1756.000000,28200
2013-11-20,1826.000000,1995.500000,1777.000000,1952.500000,1952.500000,89500
2013-11-21,2003.500000,2111.000000,2000.000000,2032.500000,2032.500000,72100
2013-11-22,2005.000000,2109.500000,1948.000000,2100.000000,2100.000000,57700
2013-11-25,2222.500000,2318.500000,2065.000000,2113.000000,2113.000000,83600
2013-11-26,2187.000000,2292.500000,2150.500000,2276.000000,2276.000000,63000
2013-11-27,2211.500000,2305.000000,2179.000000,2233.000000,2233.000000,42100
2013-11-29,2139.500000,2165.000000,2052.500000,2093.000000,2093.000000,30600
2013-12-02,2224.000000,2472.000000,2202.500000,2461.000000,2461.000000,80200
2013-12-03,2519.000000,2591.000000,2429.500000,2582.500000,2582.500000,55600
2013-12-04,2500.000000,2575.500000,2280.000000,2352.500000,2352.500000,71300
2013-12-05,2543.000000,2564.500000,2411.500000,2518.000000,2518.000000,50200
2013-12-06,2402.000000,2537.500000,2359.500000,2519.500000,2519.500000,58400
2013-12-09,2482.000000,2554.500000,2340.500000,2342.500000,2342.500000,53600
2013-12-10,2117.000000,2125.000000,2010.000000,2070.500000,2070.500000,67000
2013-12-11,2070.000000,2294.500000,2065.500000,2283.000000,2283.000000,53100
2013-12-12,2458.000000,2515.000000,2340.000000,2350.000000,2350.000000,74000
2013-12-13,2273.500000,2350.000000,2207.500000,2322.500000,2322.500000,49600
2013-12-16,2270.000000,2325.000000,2165.000000,2233.000000,2233.000000,48100
2013-12-17,2300.000000,2347.500000,2240.000000,2284.000000,2284.000000,42600
2013-12-18,2248.000000,2405.500000,2133.000000,2397.000000,2397.000000,84900
2013-12-19,2536.000000,2563.000000,2471.500000,2511.000000,2511.000000,53800
2013-12-20,2471.000000,2514.000000,2414.000000,2512.000000,2512.000000,39600
2013-12-23,2514.000000,2543.500000,2470.500000,2497.500000,2497.500000,24500
2013-12-24,2475.500000,2479.000000,2252.000000,2274.500000,2274.500000,28000
2013-12-26,2185.000000,2298.000000,2137.000000,2240.500000,2240.500000,37600
2013-12-27,2200.000000,2266.500000,2180.000000,2180.000000,2180.000000,23900
2013-12-30,2249.000000,2372.000000,2211.000000,2360.000000,2360.000000,31000
2013-12-31,2408.500000,2412.500000,2183.000000,2202.500000,2202.500000,50900
2014-01-02,2059.000000,2066.500000,1906.000000,1929.500000,1929.500000,75600
2014-01-03,1891.500000,1978.500000,1875.000000,1971.500000,1971.500000,41500
2014-01-06,1925.500000,1959.000000,1864.000000,1943.000000,1943.000000,43800
2014-01-07,2010.000000,2047.500000,1929.500000,1932.000000,1932.000000,50800
2014-01-08,2020.000000,2058.500000,1981.500000,2026.000000,2026.000000,50400
2014-01-09,2043.500000,2125.000000,2032.500000,2123.500000,2123.500000,36600
2014-01-10,2002.500000,2032.000000,1891.500000,1904.500000,1904.500000,69200
2014-01-13,1889.500000,1938.000000,1727.500000,1727.500000,1727.500000,69100
2014-01-14,1778.000000,1872.000000,1706.000000,1853.500000,1853.500000,78100
2014-01-15,1903.500000,1920.000000,1782.500000,1792.500000,1792.500000,65900
2014-01-16,1742.500000,1784.500000,1717.000000,1732.500000,1732.500000,42800
2014-01-17,1668.500000,1680.000000,1560.000000,1574.500000,1574.500000,97200
2014-01-21,1633.000000,1650.000000,1474.500000,1493.000000,1493.000000,115200
2014-01-22,1529.500000,1630.000000,1527.000000,1602.000000,1602.000000,85700
2014-01-23,1520.000000,1520.000000,1425.000000,1476.500000,1476.500000,78300
2014-01-24,1427.500000,1588.500000,1397.500000,1478.000000,1478.000000,80300
2014-01-27,1521.500000,1636.000000,1502.000000,1630.000000,1630.000000,81400
2014-01-28,1605.500000,1652.000000,1502.500000,1537.000000,1537.000000,60100
2014-01-29,1459.500000,1537.000000,1401.500000,1403.500000,1403.500000,98200
2014-01-30,1532.000000,1538.500000,1473.500000,1491.000000,1491.000000,79800
2014-01-31,1448.500000,1557.500000,1445.000000,1501.000000,1501.000000,74100
2014-02-03,1462.000000,1530.000000,1400.500000,1523.000000,1523.000000,65400
2014-02-04,1550.500000,1559.500000,1475.000000,1475.500000,1475.500000,53100
2014-02-05,1437.500000,1549.500000,1431.500000,1542.000000,1542.000000,54700
2014-02-06,1514.500000,1572.500000,1495.000000,1548.000000,1548.000000,44700
2014-02-07,1537.500000,1539.000000,1403.000000,1403.500000,1403.500000,89700
2014-02-10,1351.000000,1351.000000,1256.500000,1270.000000,1270.000000,102700
2014-02-11,1224.000000,1231.000000,1106.000000,1125.500000,1125.500000,141400
2014-02-12,1124.500000,1240.500000,1122.500000,1230.000000,1230.000000,125800
2014-02-13,1227.000000,1240.000000,1069.000000,1075.000000,1075.000000,167100
2014-02-14,1004.000000,1049.500000,971.000000,1011.500000,1011.500000,174300
2014-02-18,987.500000,1042.000000,982.500000,993.500000,993.500000,114200
2014-02-19,1019.500000,1099.000000,987.500000,1081.500000,1081.500000,151900
2014-02-20,1071.000000,1079.500000,951.000000,967.000000,967.000000,159300
2014-02-21,958.500000,1003.500000,942.000000,964.500000,964.500000,106700
2014-02-24,935.000000,956.000000,928.000000,952.000000,952.000000,65200
2014-02-25,958.500000,997.500000,947.000000,991.000000,991.000000,102200
2014-02-26,1020.500000,1057.000000,997.500000,1023.000000,1023.000000,143100
2014-02-27,1014.000000,1042.500000,977.000000,1034.500000,1034.500000,110100
2014-02-28,1022.000000,1062.000000,1011.500000,1044.000000,1044.000000,104100
2014-03-03,951.500000,1005.000000,943.500000,995.500000,995.500000,122900
2014-03-04,1034.000000,1047.500000,998.000000,1017.000000,1017.000000,80100
2014-03-05,1012.500000,1028.000000,969.500000,975.000000,975.000000,94900
2014-03-06,950.000000,965.000000,931.000000,940.000000,940.000000,82300
2014-03-07,986.500000,1016.000000,981.500000,1000.000000,1000.000000,132200
2014-03-10,1003.500000,1038.000000,993.000000,1023.500000,1023.500000,67400
2014-03-11,993.000000,1029.000000,985.500000,1009.000000,1009.000000,64800
2014-03-12,959.000000,972.500000,916.000000,918.000000,918.000000,170900
2014-03-13,926.000000,934.000000,844.000000,847.000000,847.000000,165100
2014-03-14,812.500000,863.500000,808.000000,835.000000,835.000000,131900
2014-03-17,852.500000,917.500000,844.000000,914.000000,914.000000,144300
2014-03-18,960.000000,972.500000,911.000000,952.500000,952.500000,126200
2014-03-19,979.500000,1065.000000,967.500000,1061.500000,1061.500000,181800
2014-03-20,1091.500000,1099.000000,1020.500000,1059.000000,1059.000000,108700
2014-03-21,1011.500000,1083.000000,1001.500000,1054.500000,1054.500000,81700
2014-03-24,1105.000000,1204.500000,1090.500000,1195.500000,1195.500000,148200
2014-03-25,1165.500000,1196.500000,1138.000000,1177.000000,1177.000000,87600
2014-03-26,1173.000000,1322.000000,1157.500000,1319.000000,1319.000000,131200
2014-03-27,1326.500000,1357.500000,1254.000000,1268.000000,1268.000000,107600
2014-03-28,1286.500000,1315.000000,1182.000000,1222.500000,1222.500000,119100
2014-03-31,1243.000000,1318.000000,1210.000000,1292.000000,1292.000000,101200
2014-04-01,1277.000000,1313.000000,1250.500000,1284.000000,1284.000000,67200
2014-04-02,1214.000000,1217.500000,1155.000000,1190.000000,1190.000000,98300
2014-04-03,1213.500000,1254.000000,1210.000000,1212.500000,1212.500000,78000
2014-04-04,1128.000000,1205.000000,1125.500000,1188.000000,1188.000000,80700
2014-04-07,1198.000000,1215.000000,1131.000000,1182.000000,1182.000000,88900
2014-04-08,1125.000000,1153.500000,1090.500000,1097.000000,1097.000000,85100
2014-04-09,1130.500000,1145.500000,1035.500000,1072.000000,1072.000000,106400
2014-04-10,1048.500000,1137.500000,1041.000000,1131.000000,1131.000000,102900
2014-04-11,1126.000000,1195.000000,1101.500000,1179.000000,1179.000000,70100
2014-04-14,1131.000000,1160.000000,1094.500000,1139.000000,1139.000000,76200
2014-04-15,1236.000000,1275.000000,1202.000000,1208.000000,1208.000000,93100
2014-04-16,1209.500000,1261.500000,1200.000000,1240.000000,1240.000000,60100
2014-04-17,1240.000000,1282.000000,1215.500000,1278.000000,1278.000000,50100
2014-04-21,1278.000000,1362.500000,1250.500000,1288.000000,1288.000000,60500
2014-04-22,1281.000000,1317.000000,1235.000000,1235.000000,1235.000000,54300
2014-04-23,1237.000000,1245.000000,1134.500000,1163.000000,1163.000000,70100
2014-04-24,1211.000000,1227.000000,1153.500000,1212.000000,1212.000000,56900
2014-04-25,1185.500000,1198.000000,1130.000000,1132.000000,1132.000000,48800
2014-04-28,1157.500000,1214.000000,1151.000000,1195.000000,1195.000000,54300
2014-04-29,1210.500000,1210.500000,1131.000000,1152.500000,1152.500000,49400
2014-04-30,1187.500000,1205.000000,1145.000000,1178.000000,1178.000000,54900
2014-05-01,1216.500000,1235.000000,1193.500000,1224.000000,1224.000000,45500
2014-05-02,1210.500000,1222.500000,1136.000000,1141.500000,1141.500000,64800
2014-05-05,1103.000000,1148.500000,1096.000000,1129.500000,1129.500000,38400
2014-05-06,1129.000000,1152.500000,1126.500000,1146.000000,1146.000000,24100
2014-05-07,1162.500000,1241.500000,1160.000000,1222.000000,1222.000000,68200
2014-05-08,1216.000000,1228.500000,1189.000000,1220.000000,1220.000000,30600
2014-05-09,1210.500000,1260.000000,1194.500000,1226.000000,1226.000000,37600
2014-05-12,1182.000000,1209.500000,1169.000000,1196.000000,1196.000000,54800
2014-05-13,1201.000000,1224.500000,1172.000000,1222.000000,1222.000000,55300
2014-05-14,1181.500000,1192.000000,1165.000000,1187.000000,1187.000000,51100
2014-05-15,1216.500000,1255.000000,1195.000000,1240.500000,1240.500000,67300
2014-05-16,1257.000000,1287.000000,1247.500000,1274.000000,1274.000000,38600
2014-05-19,1241.500000,1296.500000,1234.000000,1272.500000,1272.500000,36100
2014-05-20,1295.500000,1299.500000,1255.000000,1278.500000,1278.500000,28800
2014-05-21,1296.500000,1306.000000,1261.000000,1261.000000,1261.000000,33800
2014-05-22,1239.000000,1276.000000,1237.500000,1271.500000,1271.500000,29400
2014-05-23,1269.500000,1291.000000,1260.000000,1286.000000,1286.000000,30000
2014-05-27,1339.500000,1439.000000,1337.000000,1431.500000,1431.500000,60200
2014-05-28,1457.000000,1529.500000,1436.500000,1502.500000,1502.500000,52800
2014-05-29,1531.500000,1531.500000,1425.500000,1472.000000,1472.000000,46300
2014-05-30,1488.500000,1527.500000,1417.000000,1417.000000,1417.000000,43300
2014-06-02,1454.000000,1483.000000,1410.000000,1458.000000,1458.000000,34300
2014-06-03,1456.000000,1512.500000,1431.500000,1439.000000,1439.000000,31200
2014-06-04,1436.500000,1467.500000,1430.000000,1452.000000,1452.000000,34000
2014-06-05,1414.000000,1430.500000,1360.000000,1385.000000,1385.000000,34700
2014-06-06,1388.500000,1441.000000,1379.500000,1384.000000,1384.000000,30700
2014-06-09,1388.500000,1407.500000,1362.000000,1407.500000,1407.500000,20600
2014-06-10,1378.000000,1384.500000,1315.000000,1317.500000,1317.500000,37000
2014-06-11,1300.000000,1309.000000,1251.000000,1251.000000,1251.000000,44300
2014-06-12,1237.500000,1241.500000,1150.000000,1150.000000,1150.000000,77200
2014-06-13,1158.000000,1199.000000,1138.000000,1138.500000,1138.500000,56400
2014-06-16,1125.500000,1164.000000,1116.500000,1153.000000,1153.000000,40500
2014-06-17,1189.000000,1199.000000,1132.000000,1135.000000,1135.000000,54700
2014-06-18,1139.000000,1149.000000,1044.000000,1047.000000,1047.000000,93500
2014-06-19,996.000000,997.500000,877.000000,877.500000,877.500000,180100
2014-06-20,897.000000,923.500000,880.500000,901.000000,901.000000,68900
2014-06-23,898.500000,915.000000,855.000000,857.500000,857.500000,74000
2014-06-24,846.500000,933.500000,831.500000,931.000000,931.000000,101400
2014-06-25,935.000000,936.000000,880.000000,902.000000,902.000000,74400
2014-06-26,920.000000,937.500000,880.000000,881.500000,881.500000,74700
2014-06-27,884.500000,907.000000,862.500000,881.500000,881.500000,59600
2014-06-30,903.000000,913.000000,825.500000,832.000000,832.000000,90200
2014-07-01,828.000000,860.000000,814.500000,850.000000,850.000000,75400
2014-07-02,855.500000,856.500000,810.000000,829.500000,829.500000,75900
2014-07-03,855.000000,877.500000,826.500000,826.500000,826.500000,57900
2014-07-07,854.000000,873.000000,848.500000,866.000000,866.000000,63100
2014-07-08,841.000000,884.000000,827.000000,827.500000,827.500000,75900
2014-07-09,812.500000,816.000000,756.000000,763.000000,763.000000,127000
2014-07-10,724.000000,809.000000,710.500000,800.000000,800.000000,148800
2014-07-11,795.500000,799.500000,739.000000,742.500000,742.500000,101700
2014-07-14,808.500000,815.000000,775.500000,801.000000,801.000000,106500
2014-07-15,793.500000,877.500000,775.000000,874.500000,874.500000,124900
2014-07-16,857.000000,857.000000,807.000000,824.500000,824.500000,94200
2014-07-17,813.000000,819.000000,752.500000,757.500000,757.500000,147900
2014-07-18,784.500000,802.500000,760.500000,766.500000,766.500000,80800
2014-07-21,751.000000,798.500000,751.000000,765.000000,765.000000,59300
2014-07-22,774.000000,798.500000,766.000000,789.500000,789.500000,60400
2014-07-23,795.000000,802.000000,767.500000,798.000000,798.000000,55500
2014-07-24,815.000000,849.500000,815.000000,837.000000,837.000000,72900
2014-07-25,836.500000,841.500000,766.500000,767.500000,767.500000,87700
2014-07-28,782.000000,787.500000,753.000000,753.000000,753.000000,54300
2014-07-29,750.000000,780.000000,741.500000,770.000000,770.000000,57000
2014-07-30,782.500000,818.500000,780.500000,792.500000,792.500000,83900
2014-07-31,820.000000,852.000000,811.000000,846.000000,846.000000,86600
2014-08-01,813.500000,843.500000,795.000000,817.000000,817.000000,61700
2014-08-04,825.000000,861.000000,812.500000,840.500000,840.500000,54600
2014-08-05,851.500000,875.000000,815.000000,826.500000,826.500000,74800
2014-08-06,785.000000,790.000000,762.500000,770.500000,770.500000,97100
2014-08-07,781.000000,797.500000,753.500000,767.000000,767.000000,81000
2014-08-08,759.000000,775.000000,737.500000,764.500000,764.500000,69700
2014-08-11,772.500000,775.500000,747.500000,747.500000,747.500000,64700
2014-08-12,735.500000,738.500000,697.500000,709.000000,709.000000,164000
2014-08-13,706.000000,720.500000,694.500000,710.000000,710.000000,87900
2014-08-14,710.500000,742.500000,697.000000,730.500000,730.500000,96600
2014-08-15,770.000000,774.500000,739.000000,753.500000,753.500000,120900
2014-08-18,765.500000,775.000000,742.000000,742.000000,742.000000,55200
2014-08-19,747.000000,770.500000,738.500000,764.500000,764.500000,65700
2014-08-20,763.500000,777.500000,742.500000,768.000000,768.000000,77500
2014-08-21,800.500000,831.000000,795.000000,817.500000,817.500000,118000
2014-08-22,814.500000,837.500000,805.000000,816.500000,816.500000,70100
2014-08-25,825.000000,861.000000,824.000000,860.500000,860.500000,59400
2014-08-26,824.000000,835.000000,802.500000,804.500000,804.500000,82600
2014-08-27,805.000000,816.500000,792.500000,811.000000,811.000000,50200
2014-08-28,785.000000,797.500000,777.500000,779.000000,779.000000,48200
2014-08-29,789.500000,794.000000,755.500000,760.500000,760.500000,57800
2014-09-02,802.500000,836.000000,800.500000,834.000000,834.000000,105800
2014-09-03,823.500000,837.500000,814.500000,835.500000,835.500000,55600
2014-09-04,825.000000,929.500000,818.000000,922.500000,922.500000,110600
2014-09-05,908.500000,947.500000,900.000000,904.000000,904.000000,75300
2014-09-08,920.000000,1000.500000,919.500000,995.000000,995.000000,103400
2014-09-09,996.000000,1017.000000,942.500000,950.000000,950.000000,77000
2014-09-10,986.000000,1020.500000,963.000000,1004.000000,1004.000000,89900
2014-09-11,1026.500000,1045.500000,976.500000,983.000000,983.000000,100700
2014-09-12,1011.000000,1041.000000,992.000000,1028.500000,1028.500000,91800
2014-09-15,1013.500000,1047.500000,1010.500000,1026.000000,1026.000000,69700
2014-09-16,1023.500000,1058.500000,984.500000,1017.500000,1017.500000,75500
2014-09-17,1010.000000,1093.000000,1005.500000,1083.000000,1083.000000,108100
